gene,node_type,source
AN7951,Transcription factor,Extebeste et al. 2021
AN7971,Transcription factor,Extebeste et al. 2021
AN8076,Transcription factor,Extebeste et al. 2021
AN8079,Transcription factor,Extebeste et al. 2021
AN8103,Transcription factor,Extebeste et al. 2021
AN8111,Transcription factor,Extebeste et al. 2021
AN8125,Transcription factor,Extebeste et al. 2021
AN8129,Transcription factor,Extebeste et al. 2021
AN8161,Transcription factor,Extebeste et al. 2021
AN8164,Transcription factor,Extebeste et al. 2021
AN8177,Transcription factor,Extebeste et al. 2021
AN8251,Transcription factor,Extebeste et al. 2021
AN8271,Transcription factor,Extebeste et al. 2021
AN8298,Transcription factor,Extebeste et al. 2021
AN8345,Transcription factor,Extebeste et al. 2021
AN8355,Transcription factor,Extebeste et al. 2021
AN8357,Transcription factor,Extebeste et al. 2021
AN8377,Transcription factor,Extebeste et al. 2021
AN8391,Transcription factor,Extebeste et al. 2021
AN8414,Transcription factor,Extebeste et al. 2021
AN8426,Transcription factor,Extebeste et al. 2021
AN8431,Transcription factor,Extebeste et al. 2021
AN8441,Transcription factor,Extebeste et al. 2021
AN8447,Transcription factor,Extebeste et al. 2021
AN8460,Transcription factor,Extebeste et al. 2021
AN8469,Transcription factor,Extebeste et al. 2021
AN8473,Transcription factor,Extebeste et al. 2021
AN8501,Transcription factor,Extebeste et al. 2021
AN8506,Transcription factor,Extebeste et al. 2021
AN8509,Transcription factor,Extebeste et al. 2021
AN8529,Transcription factor,Extebeste et al. 2021
AN8535,Transcription factor,Extebeste et al. 2021
AN8590,Transcription factor,Extebeste et al. 2021
AN8596,Transcription factor,Extebeste et al. 2021
AN8636,Transcription factor,Extebeste et al. 2021
AN8643,Transcription factor,Extebeste et al. 2021
AN8645,Transcription factor,Extebeste et al. 2021
AN8655,Transcription factor,Extebeste et al. 2021
AN8666,Transcription factor,Extebeste et al. 2021
AN8667,Transcription factor,Extebeste et al. 2021
AN8676,Transcription factor,Extebeste et al. 2021
AN8694,Transcription factor,Extebeste et al. 2021
AN8732,Transcription factor,Extebeste et al. 2021
AN8735,Transcription factor,Extebeste et al. 2021
AN8741,Transcription factor,Extebeste et al. 2021
AN8753,Transcription factor,Extebeste et al. 2021
AN8772,Transcription factor,Extebeste et al. 2021
AN8774,Transcription factor,Extebeste et al. 2021
AN8778,Transcription factor,Extebeste et al. 2021
AN8858,Transcription factor,Extebeste et al. 2021
AN8885,Transcription factor,Extebeste et al. 2021
AN8894,Transcription factor,Extebeste et al. 2021
AN8902,Transcription factor,Extebeste et al. 2021
AN8916,Transcription factor,Extebeste et al. 2021
AN8918,Transcription factor,Extebeste et al. 2021
AN8930,Transcription factor,Extebeste et al. 2021
AN8938,Transcription factor,Extebeste et al. 2021
AN8949,Transcription factor,Extebeste et al. 2021
AN8973,Transcription factor,Extebeste et al. 2021
AN8978,Transcription factor,Extebeste et al. 2021
AN9013,Transcription factor,Extebeste et al. 2021
AN9017,Transcription factor,Extebeste et al. 2021
AN9025,Transcription factor,Extebeste et al. 2021
AN9026,Transcription factor,Extebeste et al. 2021
AN9043,Transcription factor,Extebeste et al. 2021
AN9047,Transcription factor,Extebeste et al. 2021
AN9050,Transcription factor,Extebeste et al. 2021
AN9060,Transcription factor,Extebeste et al. 2021
AN9117,Transcription factor,Extebeste et al. 2021
AN9141,Transcription factor,Extebeste et al. 2021
AN9147,Transcription factor,Extebeste et al. 2021
AN9221,Transcription factor,Extebeste et al. 2021
AN9236,Transcription factor,Extebeste et al. 2021
AN9240,Transcription factor,Extebeste et al. 2021
AN9283,Transcription factor,Extebeste et al. 2021
AN9292,Transcription factor,Extebeste et al. 2021
AN9293,Transcription factor,Extebeste et al. 2021
AN9328,Transcription factor,Extebeste et al. 2021
AN9358,Transcription factor,Extebeste et al. 2021
AN9373,Transcription factor,Extebeste et al. 2021
AN9395,Transcription factor,Extebeste et al. 2021
AN9397,Transcription factor,Extebeste et al. 2021
AN9404,Transcription factor,Extebeste et al. 2021
AN9458,Transcription factor,Extebeste et al. 2021
AN9492,Transcription factor,Extebeste et al. 2021
AN9516,Transcription factor,Extebeste et al. 2021
AN2520,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN3361,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN3387,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN3765,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN4932,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN5151,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN5508,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN5720,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN6680,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN7743,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN7795,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN8262,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN8348,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN9199,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN10946,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN4544,Phosphatase,Son & Osmani 2009
AN4896,Phosphatase,Son & Osmani 2009
AN5057,Phosphatase,Son & Osmani 2009
AN6982,Phosphatase,Son & Osmani 2009
AN0103,Phosphatase,Son & Osmani 2009
AN0129,Phosphatase,Son & Osmani 2009
AN0164,Phosphatase,Son & Osmani 2009
AN0410,Phosphatase,Son & Osmani 2009
AN0504,Phosphatase,Son & Osmani 2009
AN0914,Phosphatase,Son & Osmani 2009
AN10077,Phosphatase,Son & Osmani 2009
AN10138,Phosphatase,Son & Osmani 2009
AN10281,Phosphatase,Son & Osmani 2009
AN10570,Phosphatase,Son & Osmani 2009
AN1343,Phosphatase,Son & Osmani 2009
AN1358,Phosphatase,Son & Osmani 2009
AN1467,Phosphatase,Son & Osmani 2009
AN2472,Phosphatase,Son & Osmani 2009
AN2902,Phosphatase,Son & Osmani 2009
AN3793,Phosphatase,Son & Osmani 2009
AN3810,Phosphatase,Son & Osmani 2009
AN3941,Phosphatase,Son & Osmani 2009
AN4419,Phosphatase,Son & Osmani 2009
AN4426,Phosphatase,Son & Osmani 2009
AN5722,Phosphatase,Son & Osmani 2009
AN6391,Phosphatase,Son & Osmani 2009
AN6892,Phosphatase,Son & Osmani 2009
AN8820,Phosphatase,Son & Osmani 2009
AN10570 ,Phosphatase,Phosphotyrosine protein phosphatases I SUPERFAMILY SSF52788
AN10780,Phosphatase,Phosphotyrosine protein phosphatases I SUPERFAMILY SSF52788
AN10864,Phosphatase,Phosphotyrosine protein phosphatases I SUPERFAMILY SSF52788
AN12322,Phosphatase,Phosphotyrosine protein phosphatases I SUPERFAMILY SSF52788
AN9355,Phosphatase,Phosphotyrosine protein phosphatases I SUPERFAMILY SSF52788
AN11786,Kinase,Protein kinase-like (PK-like) Protein kinase-like domain SUPERFAMILY SSF56112
AN0464,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN0556,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN10093,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN10446,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN10532,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN11069,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN1148,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN12098,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN12436,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN1341,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN1796,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN2360,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN2457,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN2476,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN3937,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN3982,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN4495,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN4713,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN5655,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN5939,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN8622,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN9186,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN9402,Phosphatase,Metallo-dependent phosphatase SUPERFAMILY SSF56300
AN5767,Phosphatase,Winkelstroter et al. 2015 G3 (Bethesda)
AN4057,Phosphatase,Winkelstroter et al. 2015 G3 (Bethesda)
