gene,node_type,source
AN0235,Kinase,De Souza et al. 2013 PLoS One
AN0576,Kinase,De Souza et al. 2013 PLoS One
AN0699,Kinase,De Souza et al. 2013 PLoS One
AN0822,Kinase,De Souza et al. 2013 PLoS One
AN0931,Kinase,De Souza et al. 2013 PLoS One
AN0988,Kinase,De Souza et al. 2013 PLoS One
AN10019,Kinase,De Souza et al. 2013 PLoS One
AN10082,Kinase,De Souza et al. 2013 PLoS One
AN10153,Kinase,De Souza et al. 2013 PLoS One
AN1017,Kinase,De Souza et al. 2013 PLoS One
AN10193,Kinase,De Souza et al. 2013 PLoS One
AN10325,Kinase,De Souza et al. 2013 PLoS One
AN10462,Kinase,De Souza et al. 2013 PLoS One
AN10485,Kinase,De Souza et al. 2013 PLoS One
AN10515,Kinase,De Souza et al. 2013 PLoS One
AN10791,Kinase,De Souza et al. 2013 PLoS One
AN10800,Kinase,De Souza et al. 2013 PLoS One
AN10819,Kinase,De Souza et al. 2013 PLoS One
AN10869,Kinase,De Souza et al. 2013 PLoS One
AN10895,Kinase,De Souza et al. 2013 PLoS One
AN10937,Kinase,De Souza et al. 2013 PLoS One
AN1097,Kinase,De Souza et al. 2013 PLoS One
AN11032,Kinase,De Souza et al. 2013 PLoS One
AN11101,Kinase,De Souza et al. 2013 PLoS One
AN1171,Kinase,De Souza et al. 2013 PLoS One
AN1315,Kinase,De Souza et al. 2013 PLoS One
AN1485,Kinase,De Souza et al. 2013 PLoS One
AN1560,Kinase,De Souza et al. 2013 PLoS One
AN1632,Kinase,De Souza et al. 2013 PLoS One
AN1665,Kinase,De Souza et al. 2013 PLoS One
AN1789,Kinase,De Souza et al. 2013 PLoS One
AN1800,Kinase,De Souza et al. 2013 PLoS One
AN1867,Kinase,De Souza et al. 2013 PLoS One
AN2054,Kinase,De Souza et al. 2013 PLoS One
AN2067,Kinase,De Souza et al. 2013 PLoS One
AN2246,Kinase,De Souza et al. 2013 PLoS One
AN2265,Kinase,De Souza et al. 2013 PLoS One
AN2269,Kinase,De Souza et al. 2013 PLoS One
AN2363,Kinase,De Souza et al. 2013 PLoS One
AN2373,Kinase,De Souza et al. 2013 PLoS One
AN2412,Kinase,De Souza et al. 2013 PLoS One
AN2489,Kinase,De Souza et al. 2013 PLoS One
AN2581,Kinase,De Souza et al. 2013 PLoS One
AN2927,Kinase,De Souza et al. 2013 PLoS One
AN2943,Kinase,De Souza et al. 2013 PLoS One
AN3001,Kinase,De Souza et al. 2013 PLoS One
AN3065,Kinase,De Souza et al. 2013 PLoS One
AN3101,Kinase,De Souza et al. 2013 PLoS One
AN3102,Kinase,De Souza et al. 2013 PLoS One
AN3110,Kinase,De Souza et al. 2013 PLoS One
AN3214,Kinase,De Souza et al. 2013 PLoS One
AN3422,Kinase,De Souza et al. 2013 PLoS One
AN3450,Kinase,De Souza et al. 2013 PLoS One
AN3719,Kinase,De Souza et al. 2013 PLoS One
AN3946,Kinase,De Souza et al. 2013 PLoS One
AN4113,Kinase,De Souza et al. 2013 PLoS One
AN4182,Kinase,De Souza et al. 2013 PLoS One
AN4189,Kinase,De Souza et al. 2013 PLoS One
AN4196,Kinase,De Souza et al. 2013 PLoS One
AN4238,Kinase,De Souza et al. 2013 PLoS One
AN4278,Kinase,De Souza et al. 2013 PLoS One
AN4279,Kinase,De Souza et al. 2013 PLoS One
AN4322,Kinase,De Souza et al. 2013 PLoS One
AN4385,Kinase,De Souza et al. 2013 PLoS One
AN4447,Kinase,De Souza et al. 2013 PLoS One
AN4479,Kinase,De Souza et al. 2013 PLoS One
AN4709,Kinase,De Souza et al. 2013 PLoS One
AN4818,Kinase,De Souza et al. 2013 PLoS One
AN5296,Kinase,De Souza et al. 2013 PLoS One
AN5511,Kinase,De Souza et al. 2013 PLoS One
AN5666,Kinase,De Souza et al. 2013 PLoS One
AN5728,Kinase,De Souza et al. 2013 PLoS One
AN5822,Kinase,De Souza et al. 2013 PLoS One
AN5982,Kinase,De Souza et al. 2013 PLoS One
AN6192,Kinase,De Souza et al. 2013 PLoS One
AN6207,Kinase,De Souza et al. 2013 PLoS One
