name,selected,shared.name,symbol,moduleColor,Abs.GS.flux.,MM.darkred,node_type,source
AN3236,false,AN3236,AN3236,greenyellow,0.4604427,0.4865875,Target,NA
AN3238,false,AN3238,AN3238,NA,NA,NA,NA,NA
AN3239,false,AN3239,AN3239,NA,NA,NA,NA,NA
AN3240,false,AN3240,AN3240,NA,NA,NA,NA,NA
AN3241,false,AN3241,AN3241,NA,NA,NA,NA,NA
AN3243,false,AN3243,AN3243,NA,NA,NA,NA,NA
AN3244,false,AN3244,AN3244,NA,NA,NA,NA,NA
AN3245,false,AN3245,AN3245,NA,NA,NA,NA,NA
AN3246,false,AN3246,AN3246,NA,NA,NA,NA,NA
AN3247,false,AN3247,AN3247,NA,NA,NA,NA,NA
AN3248,false,AN3248,AN3248,NA,NA,NA,NA,NA
AN3249,false,AN3249,AN3249,NA,NA,NA,NA,NA
AN3250,false,AN3250,AN3250,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3251,false,AN3251,AN3251,NA,NA,NA,NA,NA
AN3252,false,AN3252,AN3252,NA,NA,NA,NA,NA
AN3253,false,AN3253,CYP649A1,NA,NA,NA,NA,NA
AN3254,false,AN3254,AN3254,NA,NA,NA,NA,NA
AN3255,false,AN3255,AN3255,turquoise,0.20551,-0.1856145,Target,NA
AN3256,false,AN3256,CYP648A1,NA,NA,NA,NA,NA
AN3257,false,AN3257,AN3257,NA,NA,NA,NA,NA
AN3258,false,AN3258,AN3258,darkred,0.5727474,0.8274138,Target,NA
AN3259,false,AN3259,AN3259,NA,NA,NA,NA,NA
AN3262,false,AN3262,AN3262,darkred,0.5112717,0.696048,Target,NA
AN3263,false,AN3263,AN3263,NA,NA,NA,NA,NA
AN3264,false,AN3264,xtrB,darkturquoise,0.2329431,0.5523289,Target,NA
AN3265,false,AN3265,apyA,NA,NA,NA,NA,NA
AN3267,false,AN3267,AN3267,NA,NA,NA,NA,NA
AN3269,false,AN3269,AN3269,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3270,false,AN3270,AN3270,NA,NA,NA,NA,NA
AN3273,false,AN3273,AN3273,NA,NA,NA,NA,NA
